COUNTRY,CHAMBER,GENDER,AGE,PROFESSION,,CODING ,
Albania ,UNICAMERAL,M,24.04.1958,Publisher,,5,
Albania ,UNICAMERAL,M,25.12.1968,Economist,,3,
Albania ,UNICAMERAL,M,01.09.1962,Sports Academy,,5,
Albania ,UNICAMERAL,M,24.11.1971,Construction Engineer ,,3,
Albania ,UNICAMERAL,M,24.09.1964,Political sciences,,5,
Albania ,UNICAMERAL,M,26.12.1964,Jurist,,3,
Albania ,UNICAMERAL,M,06.12.1951,Teaching ,,4,
Albania ,UNICAMERAL,M,16.07.1961,Businessman,,2,
Albania ,UNICAMERAL,M,17.01.1966,Economist,,3,
Albania ,UNICAMERAL,M,18.02.1968,IT – computer,,5,
Albania ,UNICAMERAL,M,20.04.1962,Jurist,,3,
Albania ,UNICAMERAL,M,18.08.1952,Physics ,,5,
Albania ,UNICAMERAL,F,22.05.1973,doctor,,3,
Albania ,UNICAMERAL,F,26.03.1964,Actress,,5,
Albania ,UNICAMERAL,M,12.09.1961,Diplomat,,1,
Albania ,UNICAMERAL,F,11.09.1964,Economist,,3,
Albania ,UNICAMERAL,M,11.03.1946,journalist,,5,
Albania ,UNICAMERAL,M,01.05.1963,Businessman,,2,
Albania ,UNICAMERAL,F,25.12.1979,Political sciences,,5,
Albania ,UNICAMERAL,M,15.11.1967,Jurist and engineering ,,3,
Albania ,UNICAMERAL,M,05.07.1961,Businessmen,,2,
Albania ,UNICAMERAL,M,27.08.1959,Military academy,,5,
Albania ,UNICAMERAL,M,01.04.1953,English language,,5,
Albania ,UNICAMERAL,F,08.10.1977,Economist,,3,
Albania ,UNICAMERAL,M,10.02.1957,Economist,,3,
Albania ,UNICAMERAL,M,30.10.1979,Jurist,,3,
Albania ,UNICAMERAL,F,29.04.1968,Jurist,,3,
Albania ,UNICAMERAL,M,18.11.1968,Military academy,,5,
Albania ,UNICAMERAL,M,12.08.1977,Political sciences ,,5,
Albania ,UNICAMERAL,M,06.06.1966,Jurist,,3,
Albania ,UNICAMERAL,F,01.11.1948,Economist,,3,
Albania ,UNICAMERAL,M,17.12.1969,Medicine,,3,
Albania ,UNICAMERAL,F,13.01.1963,Jurist/,,3,
Albania ,UNICAMERAL,M,27.02.1963,Military academy/ Jurist ,,5,
Albania ,UNICAMERAL,F,05.06.1954,Teaching ,,4,
Albania ,UNICAMERAL,F,24.02.1971,Engineer,,3,
Albania ,UNICAMERAL,M,11.06.1974,Jurist,,3,
Albania ,UNICAMERAL,M,21.01.1958,Actor,,5,
Albania ,UNICAMERAL,M,10.04.1967,Construction engineer,,3,
Albania ,UNICAMERAL,M,28.01.1956,University Teacher,,4,
Albania ,UNICAMERAL,F,20.06.1973,Jurist ,,3,
Albania ,UNICAMERAL,M,22.07.1964,Journalist ,,5,
Albania ,UNICAMERAL,M,21.08.1962,Jurist,,3,
Albania ,UNICAMERAL,M,07.04.1968,Teaching/Jurist,,4,
Albania ,UNICAMERAL,M,20.08.1969,Jurist,,3,
Albania ,UNICAMERAL,M,29.09.1966,Military academy ,,5,
Albania ,UNICAMERAL,M,14.03.1969,Jurist,,3,
Albania ,UNICAMERAL,M,16.08.1966,Business management ,,2,
Albania ,UNICAMERAL,M,27.08.1968,English language,,5,
Albania ,UNICAMERAL,M,23.10.1965,Geo- Physics engineer ,,3,
Albania ,UNICAMERAL,M,14.11.1958,Economist,,3,
Albania ,UNICAMERAL,M,08.12.1972,Jurist,,3,
Albania ,UNICAMERAL,F,26.11.1963,Math science/ Jurist,,3,
Albania ,UNICAMERAL,M,15.02.1958,Sports academy,,5,
Albania ,UNICAMERAL,F,14.06.1961,Doctor,,3,
Albania ,UNICAMERAL,F,19.07.1975,Economics,,3,
Albania ,UNICAMERAL,M,04.08.1964,Jurisprudence ,,3,
Albania ,UNICAMERAL,M,03.09.1972,Military,,5,
Albania ,UNICAMERAL,M,08.08.1954,Language- literature,,5,
Albania ,UNICAMERAL,M,25.10.1951,Teacher,,4,
Albania ,UNICAMERAL,M,26.03.1967,University teacher ,,4,
Albania ,UNICAMERAL,M,19.05.1974,Jurist,,3,
Albania ,UNICAMERAL,F,19.05.1974,Social sciences ,,5,
Albania ,UNICAMERAL,F,25.06.1966,University teacher,,4,
Albania ,UNICAMERAL,M,08.11.1950,Medicine ,,3,
Albania ,UNICAMERAL,F,16.02.1971,Economics- Philosophy ,,3,
Albania ,UNICAMERAL,M,14.11.1957,Veterinary/Teaching ,,3,
Albania ,UNICAMERAL,M,05.04.1961,Jurist,,3,
Albania ,UNICAMERAL,M,28.02.1966,Agriculture academy /Jurist,,4,
Albania ,UNICAMERAL,M,17.07.1964,Naval Expert ,,5,
Albania ,UNICAMERAL,F,17.11.1973,University teacher/ jurisprudence ,,4,
Albania ,UNICAMERAL,F,16.08.1958,Actress,,5,
Albania ,UNICAMERAL,M,26.06.1959,Economist,,3,
Albania ,UNICAMERAL,M,20.05.1960,Agriculture engineer,,3,
Albania ,UNICAMERAL,M,24.07.1973,Medicine ,,3,
Albania ,UNICAMERAL,M,15.10.1944,Medicine,,3,
Albania ,UNICAMERAL,M,02.10.1966,Economist,,3,
Albania ,UNICAMERAL,M,25.05.1956,Economist,,3,
Albania ,UNICAMERAL,M,17.12.1972,Justice ,,1,
Albania ,UNICAMERAL,M,02.03.1967,Mechanical engineer ,,3,
Albania ,UNICAMERAL,M,17.04.1975,Economist,,3,
Albania ,UNICAMERAL,M,11.09.1973,Jurist,,3,
Albania ,UNICAMERAL,M,01.10.1966,Language and Literature ,,4,
Albania ,UNICAMERAL,M,21.01.1967,Oil engineer ,,3,
Albania ,UNICAMERAL,M,29.11.1948,Science Academy,,4,
Albania ,UNICAMERAL,M,22.10.1961,Military academy,,5,
Albania ,UNICAMERAL,M,23.01.1964,Mechanical engineer ,,3,
Albania ,UNICAMERAL,M,03.03.1971,Medicine,,3,
Albania ,UNICAMERAL,M,02.05.1962,Economics ,,3,
Albania ,UNICAMERAL,M,14.12.1968,Construction engineer ,,3,
Albania ,UNICAMERAL,M,11.04.1958,Economist,,3,
Albania ,UNICAMERAL,M,07.04.1963,Historical science ,,5,
Albania ,UNICAMERAL,M,06.10.1972,Jurist,,3,
Albania ,UNICAMERAL,M,07.07.1980,IT science ,,5,
Albania ,UNICAMERAL,M,08.10.1956,Jurist,,3,
Albania ,UNICAMERAL,M,10.11.1959,University teacher,,4,
Albania ,UNICAMERAL,M,03.03.1959,University teacher,,4,
Albania ,UNICAMERAL,M,16.03.1969,Bio-Chemistry,,3,
Albania ,UNICAMERAL,M,11.05.1951,Oil engineering ,,3,
Albania ,UNICAMERAL,M,24.04.1965,Jurist,,3,
Albania ,UNICAMERAL,M,24.03.1969,Economist,,3,
Albania ,UNICAMERAL,M,12.06.1959 ,University teacher,,4,
Albania ,UNICAMERAL,M,05.05.1950,Economist,,3,
Albania ,UNICAMERAL,M,24.04.1949,Medicine,,3,
Albania ,UNICAMERAL,M,18.02.1968,English language ,,5,
Albania ,UNICAMERAL,M,10.12.1959,Geo-Physics engineer ,,3,
Albania ,UNICAMERAL,M,01.01.1973,Jurist,,3,
Albania ,UNICAMERAL,M,22.12.1954,Jurist,,3,
Albania ,UNICAMERAL,M,07.07.1967,Economist/Jurist,,3,
Argentina,UPPER,M,10/1/59,Industria del entretenimiento - Actor,,5,
Argentina,UPPER,M,9/21/45,s/d,,6,
Argentina,UPPER,M,1957,Empresario,,2,
Argentina,UPPER,M,11/29/60,Técnico Electromecánica},,5,
Argentina,UPPER,M,9/22/61,Ingeniero ,,3,
Argentina,UPPER,F,3/17/63,Abogada,,3,
Argentina,UPPER,F,3/1/49,Abogada,,3,
Argentina,UPPER,M,8/18/58,Doc. En Filosofía,,5,
Argentina,UPPER,M,4/9/67,Diploma Internacional en Administración Pública,,5,
Argentina,UPPER,M,7/17/65,Odontologo,,3,
Argentina,UPPER,M,1/18/54,Abogado,,3,
Argentina,UPPER,M,3/19/54,Abogado,,3,
Argentina,UPPER,M,3/4/54,Locutor - Director de compañía privada,,5,
Argentina,UPPER,F,12/4/58,Médica ,,3,
Argentina,UPPER,F,4/25/62,Contador Pública,,3,
Argentina,UPPER,F,12/4/56,Profesora de Química y Merceología,,4,
Argentina,UPPER,F,4/5/51,Medica,,3,
Argentina,UPPER,F,2/28/53,Bachiller con Orientación Pedagógica,,5,
Argentina,UPPER,F,12/15/53,Abogada,,3,
Argentina,UPPER,F,4/15/58,Lic en Ciencias Políticas y Maestrías internacionales,,5,
Argentina,UPPER,F,4/28/57,Bioquímica,,3,
Argentina,UPPER,M,12/16/58,Abogado,,3,
Argentina,UPPER,M,6/3/55,Lic. En Sociología,,5,
Argentina,UPPER,M,10/6/48,Abogado,,3,
Argentina,UPPER,M,2/10/45,Abogado,,3,
Argentina,UPPER,M,11/3/55,Ingeniero Civil,,3,
Argentina,UPPER,F,10/14/46,Estudios de Servicios Sociales,,5,
Argentina,UPPER,M,7/1/54,Estudios de Derecho,,3,
Argentina,UPPER,M,9/28/47,Abogado,,3,
Argentina,UPPER,F,12/22/62,Ingeniera,,3,
Argentina,UPPER,F,1/5/46,Abogada y Escribana,,3,
Argentina,UPPER,M,9/7/50,Abogado,,3,
Argentina,UPPER,M,9/13/63,Abogado,,3,
Argentina,UPPER,F,5/10/52,Profesora de Letras,,4,
Argentina,UPPER,M,7/16/39,Médico,,3,
Argentina,UPPER,M,12/30/66,Actividad agropecuaria,,2,
Argentina,UPPER,M,10/23/63,Productor Agropecuario,,2,
Argentina,UPPER,M,9/29/62,Lic. En Organización Industrial,,5,
Argentina,UPPER,M,9/6/51,Arquitecto,,3,
Argentina,UPPER,M,9/19/57,Tecnico en Electrónica,,5,
Argentina,UPPER,F,9/17/58,Estudios universitarios en Ingeniería Civil e Ingeniería en Minas,,5,
Argentina,UPPER,F,7/15/39,Actividad agropecuaria,,2,
Argentina,UPPER,M,7/2/30,Abogado,,3,
Argentina,UPPER,M,7/2/72,Abogado,,3,
Argentina,UPPER,F,10/20/59,Profesora en Letras,,4,
Argentina,UPPER,F,6/6/59,Ingeniera Agropecuaria,,3,
Argentina,UPPER,M,7/18/59,Contador Público,,3,
Argentina,UPPER,F,3/31/48,Periodista y Escritora,,5,
Argentina,UPPER,F,5/18/54,Abogada,,3,
Argentina,UPPER,M,1/26/51,Intendente,,1,
Argentina,UPPER,F,10/25/50,Psicopedagoga,,5,
Argentina,UPPER,M,12/28/49,Médico,,3,
Argentina,UPPER,F,9/7/53,Profesora en Psicología,,4,
Argentina,UPPER,M,3/8/54,Abogado,,3,
Argentina,UPPER,M,10/31/61,Ingeniero Civil,,3,
Argentina,UPPER,M,7/13/67,Abogado,,3,
Argentina,UPPER,M,10/24/50,Abogado,,3,
Argentina,UPPER,F,1/26/50,Lic. En Servicio Social,,5,
Argentina,UPPER,M,6/2/59,Estudios de Derecho,,5,
Argentina,UPPER,M,4/12/42,Automovilista y  actividad de productor agropecuario,,5,
Argentina,UPPER,F,5/30/58,Abogada,,3,
Argentina,UPPER,M,7/25/47,Abogado,,3,
Argentina,UPPER,F,2/4/56,Fonoaudiologa,,5,
Argentina,UPPER,M,8/13/63,Abogado,,3,
Argentina,UPPER,M,11/16/50,Abogado,,3,
Argentina,UPPER,M,12/9/56,Abogado,,3,
Argentina,UPPER,M,n/a,n/a,,6,
Argentina,UPPER,M,3/19/46,Abogado,,3,
Argentina,UPPER,M,2/7/38,Abogado,,3,
Argentina,UPPER,M,5/8/46,Ingeniero,,3,
Argentina,UPPER,M,1/8/62,Ingeniero,,3,
Argentina,UPPER,F,10/6/44,Docente.Empresaria.,,4,
Argentina ,LOWER,F,4/13/48,Docente,,4,
Argentina ,LOWER,F,4/27/48,n/a,,6,
Argentina ,LOWER,M,8/15/63,Contador Público,,3,
Argentina ,LOWER,M,5/7/50,Abogado,,3,
Argentina ,LOWER,F,4/11/60,Empleada,,5,
Argentina ,LOWER,M,1/18/49,Abogado,,3,
Argentina ,LOWER,M,7/11/42,Ingeniero,,3,
Argentina ,LOWER,M,8/21/49,Arquitecto,,3,
Argentina ,LOWER,M,9/21/65,Periodista,,5,
Argentina ,LOWER,M,11/2/51,Abogado,,3,
Argentina ,LOWER,M,11/24/47,Empleado,,5,
Argentina ,LOWER,M,4/7/49,Abogado/  Escribano,,3,
Argentina ,LOWER,F,12/23/72,Politóloga,,5,
Argentina ,LOWER,F,5/5/57,Empleada Judicial,,1,
Argentina ,LOWER,M,8/15/58,Contador Público,,3,
Argentina ,LOWER,M,1955,Abogado,,3,
Argentina ,LOWER,M,7/2/48,Empresario,,2,
Argentina ,LOWER,M,5/1/47,Economista,,3,
Argentina ,LOWER,M,11/10/50,Ingeniero Agrónomo,,3,
Argentina ,LOWER,F,12/17/64,n/a,,6,
Argentina ,LOWER,F,2/14/50,Psicóloga,,3,
Argentina ,LOWER,F,5/7/40,Socióloga,,5,
Argentina ,LOWER,M,2/21/62,Chofer,,5,
Argentina ,LOWER,M,7/9/66,Abogado,,3,
Argentina ,LOWER,M,3/22/59,Ingeniero Agrónomo,,3,
Argentina ,LOWER,M,11/24/49,Empleado,,5,
Argentina ,LOWER,F,1/18/52,Docente,,4,
Argentina ,LOWER,M,9/29/59,Docente,,4,
Argentina ,LOWER,M,12/26/44,Abogado,,3,
Argentina ,LOWER,M,7/5/49,Bioquímico,,5,
Argentina ,LOWER,M,9/23/60,Empleado,,5,
Argentina ,LOWER,F,4/24/60,Funcionaria,,1,
Argentina ,LOWER,F,10/7/59,Docente,,4,
Argentina ,LOWER,F,2/11/61,Docente,,4,
Argentina ,LOWER,M,1/1/55,Bromatólogo,,5,
Argentina ,LOWER,F,4/18/59,Docente,,4,
Argentina ,LOWER,F,2/22/65,Abogada,,3,
Argentina ,LOWER,F,5/9/72,Abogada,,3,
Argentina ,LOWER,F,6/22/65,Docente,,4,
Argentina ,LOWER,F,11/26/50,n/a,,6,
Argentina ,LOWER,F,6/4/61,Abogada,,3,
Argentina ,LOWER,M,5/17/40,Periodista,,5,
Argentina ,LOWER,M,2/2/52,Ingeniero Químico,,3,
Argentina ,LOWER,M,12/28/64,Arquitecto,,3,
Argentina ,LOWER,F,6/11/56,Lic. Humanidades,,5,
Argentina ,LOWER,M,11/29/62,Productor Agropecuario,,2,
Argentina ,LOWER,M,2/22/68,Politóloga,,5,
Argentina ,LOWER,M,4/25/53,Docente,,4,
Argentina ,LOWER,M,3/15/53,Técnica Radióloga,,5,
Argentina ,LOWER,M,11/2/47,Profesor Universitario,,4,
Argentina ,LOWER,M,12/21/62,Químico,,5,
Argentina ,LOWER,M,8/24/54,Abogado,,3,
Argentina ,LOWER,F,1/25/57,Abogada,,3,
Argentina ,LOWER,M,4/30/63,Ingeniero Agrónomo,,3,
Argentina ,LOWER,F,10/5/66,Psicopedagoga,,5,
Argentina ,LOWER,F,4/24/42,Abogada,,3,
Argentina ,LOWER,M,2/2/59,Empleado,,5,
Argentina ,LOWER,M,8/31/52,Perito Mercantil,,5,
Argentina ,LOWER,M,4/9/56,Productor Agropecuario,,2,
Argentina ,LOWER,F,8/14/54,Médica,,3,
Argentina ,LOWER,F,8/30/47,Abogada,,3,
Argentina ,LOWER,F,2/9/56,Contadora Pública,,3,
Argentina ,LOWER,M,2/1/45,Abogado/  Escribano,,3,
Argentina ,LOWER,F,1/21/66,Abogada,,3,
Argentina ,LOWER,M,5/6/65,Abogado,,3,
Argentina ,LOWER,F,3/29/56,Abogada,,3,
Argentina ,LOWER,F,1/5/64,Abogada,,3,
Argentina ,LOWER,M,3/14/64,Empleado,,5,
Argentina ,LOWER,M,8/27/61,Empresario,,2,
Argentina ,LOWER,F,5/13/49,Empleada,,5,
Argentina ,LOWER,M,1/26/51,Empleado,,5,
Argentina ,LOWER,M,6/14/56,Empleado,,5,
Argentina ,LOWER,M,5/21/56,Ingeniero,,3,
Argentina ,LOWER,F,9/12/51,Arquitecta,,3,
Argentina ,LOWER,F,12/28/60,Docente,,4,
Argentina ,LOWER,M,3/23/49,Abogado,,3,
Argentina ,LOWER,F,7/22/55,Economista,,3,
Argentina ,LOWER,M,5/28/66,Abogado,,3,
Argentina ,LOWER,M,9/22/53,Director de S.A.,,2,
Argentina ,LOWER,M,11/24/65,Economista,,3,
Argentina ,LOWER,M,9/10/62,Empleado,,5,
Argentina ,LOWER,M,4/27/61,Técnico Minero,,5,
Argentina ,LOWER,F,10/22/71,Psicóloga Social,,5,
Argentina ,LOWER,F,2/1/53,Docente,,4,
Argentina ,LOWER,M,9/5/44,Abogado,,3,
Argentina ,LOWER,M,11/20/47,Abogado,,3,
Argentina ,LOWER,F,9/17/77,Empleada,,5,
Argentina ,LOWER,M,5/13/51,Odontólogo,,3,
Argentina ,LOWER,M,4/23/51,Abogado,,3,
Argentina ,LOWER,M,9/12/52,Abogado,,3,
Argentina ,LOWER,F,7/14/60,n/a,,6,
Argentina ,LOWER,F,12/28/57,Agricultora,,2,
Argentina ,LOWER,F,5/2/55,Abogada,,3,
Argentina ,LOWER,M,9/7/59,Ingeniero Civil,,3,
Argentina ,LOWER,M,9/7/38,Abogado,,3,
Argentina ,LOWER,F,6/3/57,Bioquímica,,5,
Argentina ,LOWER,M,6/30/60,Comerciante,,2,
Argentina ,LOWER,M,6/12/54,Abogado,,3,
Argentina ,LOWER,M,8/26/54,Ingeniero Agrónomo,,3,
Argentina ,LOWER,F,7/12/35,Docente,,4,
Argentina ,LOWER,M,3/24/57,Abogado,,3,
Argentina ,LOWER,M,1/12/57,Médico,,3,
Argentina ,LOWER,F,1943,Docente,,4,
Argentina ,LOWER,M,12/8/53,Empleado,,5,
Argentina ,LOWER,M,9/27/51,Abogado,,3,
Argentina ,LOWER,M,11/30/62,Productor Agropecuario,,2,
Argentina ,LOWER,M,9/24/52,Médico Cirujano,,3,
Argentina ,LOWER,F,10/13/63,Bióloga,,5,
Argentina ,LOWER,F,9/1/77,Abogada,,3,
Argentina ,LOWER,F,6/16/64,Docente,,4,
Argentina ,LOWER,F,2/9/56,n/a,,6,
Argentina ,LOWER,F,8/4/45,n/a,,6,
Argentina ,LOWER,F,4/6/64,Empleada Administrativa,,5,
Argentina ,LOWER,F,10/11/58,Productora Agropecuario,,2,
Argentina ,LOWER,M,2/23/51,n/a,,6,
Argentina ,LOWER,F,10/20/50,Abogada,,3,
Argentina ,LOWER,M,7/24/49,Abogado,,3,
Argentina ,LOWER,F,5/25/58,Docente,,4,
Argentina ,LOWER,M,4/20/58,Contador Público,,3,
Argentina ,LOWER,M,4/17/53,Abogado,,3,
Argentina ,LOWER,F,4/19/65,n/a,,6,
Argentina ,LOWER,M,3/13/53,Productor Agropecuario,,2,
Argentina ,LOWER,F,5/30/73,Politóloga,,5,
Argentina ,LOWER,M,1/27/63,Empleado,,5,
Argentina ,LOWER,F,2/10/62,Empleada,,5,
Argentina ,LOWER,F,9/14/58,Empresaria,,2,
Argentina ,LOWER,M,4/4/73,Politólogo,,5,
Argentina ,LOWER,M,6/8/47,Publicista,,5,
Argentina ,LOWER,F,3/17/63,Docente,,4,
Argentina ,LOWER,M,10/17/40,Bancario,,2,
Argentina ,LOWER,M,5/10/62,Empleado,,5,
Argentina ,LOWER,F,1/17/69,Diplomática,,1,
Argentina ,LOWER,M,6/14/70,Empleado,,5,
Argentina ,LOWER,F,5/21/60,Abogada,,3,
Argentina ,LOWER,M,5/14/57,Escritor,,5,
Argentina ,LOWER,M,3/30/60,Abogado,,3,
Argentina ,LOWER,F,3/20/51,Lic. RR.PP.,,5,
Argentina ,LOWER,F,3/24/69,Lic. Turismo,,5,
Argentina ,LOWER,M,7/4/60,Arquitecto,,3,
Argentina ,LOWER,M,6/28/51,Comerciante,,2,
Argentina ,LOWER,F,8/16/53,Comerciante,,2,
Argentina ,LOWER,M,11/6/45,Abogado,,3,
Argentina ,LOWER,M,7/23/57,Abogado,,3,
Argentina ,LOWER,M,3/23/47,Abogado,,3,
Argentina ,LOWER,M,7/9/56,Empleado,,5,
Argentina ,LOWER,F,1/21/65,Abogada,,3,
Argentina ,LOWER,F,9/12/62,Docente,,4,
Argentina ,LOWER,F,3/23/62,Bioquímica,,5,
Argentina ,LOWER,M,6/30/68,Comerciante,,2,
Argentina ,LOWER,M,8/17/56,Médico Cirujano,,3,
Argentina ,LOWER,M,10/29/49,Comerciante,,2,
Argentina ,LOWER,M,3/5/47,Abogado,,3,
Argentina ,LOWER,M,11/4/43,Empleado,,5,
Argentina ,LOWER,M,10/18/56,Economista,,3,
Argentina ,LOWER,F,4/15/45,Lic. Cs.Políticas y Soc.,,5,
Argentina ,LOWER,M,3/17/59,Docente,,4,
Argentina ,LOWER,F,11/2/58,Diputada,,1,
Argentina ,LOWER,M,10/30/51,Enólogo,,5,
Argentina ,LOWER,M,1/10/64,Contador Público,,3,
Argentina ,LOWER,M,2/11/41,Médico,,3,
Argentina ,LOWER,M,6/21/56,Abogado,,3,
Argentina ,LOWER,M,3/23/62,Ingeniero Agrónomo,,3,
Argentina ,LOWER,F,9/14/82,Estudiante,,5,
Argentina ,LOWER,M,6/25/57,Arquitecto,,3,
Argentina ,LOWER,F,5/20/52,Docente,,4,
Argentina ,LOWER,F,4/20/63,Master en Sistemas y Servicios,,5,
Argentina ,LOWER,M,11/13/70,Abogado,,3,
Argentina ,LOWER,F,2/24/70,Lic. Comunicación Social,,5,
Argentina ,LOWER,M,8/13/49,Contador Público,,3,
Argentina ,LOWER,F,5/28/65,Lic. Relaciones Internacionales,,5,
Argentina ,LOWER,M,9/21/66,Funcionario HCDN,,1,
Argentina ,LOWER,M,12/6/58,Arquitecto,,3,
Argentina ,LOWER,M,12/29/49,Comerciante,,2,
Argentina ,LOWER,M,9/9/70,Abogado,,3,
Argentina ,LOWER,M,10/22/62,Médico,,3,
Argentina ,LOWER,M,9/26/47,Arquitecto,,3,
Argentina ,LOWER,M,9/3/47,Abogado,,3,
Argentina ,LOWER,M,3/9/44,Comerciante,,2,
Argentina ,LOWER,F,11/12/45,Docente,,4,
Argentina ,LOWER,M,11/24/47,Ingeniero Químico,,3,
Argentina ,LOWER,M,5/21/76,Abogado,,3,
Argentina ,LOWER,M,4/25/68,Abogado,,3,
Argentina ,LOWER,M,n/a,n/a,,6,
Argentina ,LOWER,M,2/23/55,Agricultor,,2,
Argentina ,LOWER,M,11/7/55,Abogado,,3,
Argentina ,LOWER,M,3/10/66,Veterinario,,3,
Argentina ,LOWER,F,1/11/56,Abogada,,3,
Argentina ,LOWER,M,4/22/66,Abogado,,3,
Argentina ,LOWER,M,1/20/58,Arquitecto,,3,
Argentina ,LOWER,M,2/14/72,Abogado,,3,
Argentina ,LOWER,F,5/7/37,Asistente Social,,5,
Argentina ,LOWER,M,5/30/66,Empleado Administrativo,,5,
Argentina ,LOWER,M,4/2/53,Dirigente Gremial,,5,
Argentina ,LOWER,M,9/7/71,Abogado,,3,
Argentina ,LOWER,M,2/15/47,Contador Público,,3,
Argentina ,LOWER,M,6/4/44,Docente,,4,
Argentina ,LOWER,M,1/18/44,Legislador,,1,
Argentina ,LOWER,F,3/3/56,Empleada,,5,
Argentina ,LOWER,M,1962,Empleado,,5,
Argentina ,LOWER,F,8/2/58,Abogada,,3,
Argentina ,LOWER,M,12/29/55,Abogado,,3,
